GenAge ID,symbol,name,entrez gene id,uniprot,why
1,GHR,growth hormone receptor,2690,GHR_HUMAN,mammal
2,GHRH,growth hormone releasing hormone,2691,SLIB_HUMAN,mammal
3,SHC1,SHC (Src homology 2 domain containing) transforming protein 1,6464,SHC1_HUMAN,mammal
4,POU1F1,POU class 1 homeobox 1,5449,PIT1_HUMAN,mammal
5,PROP1,PROP paired-like homeobox 1,5626,PROP1_HUMAN,mammal
6,TP53,tumor protein p53,7157,P53_HUMAN,"mammal,model,cell"
7,TERC,telomerase RNA component,7012,,"mammal,cell"
8,TERT,telomerase reverse transcriptase,7015,TERT_HUMAN,"cell,functional"
9,ATM,ATM serine/threonine kinase,472,ATM_HUMAN,mammal
10,PLAU,"plasminogen activator, urokinase",5328,UROK_HUMAN,mammal
11,ERCC2,excision repair cross-complementation group 2,2068,ERCC2_HUMAN,mammal
12,ERCC8,excision repair cross-complementation group 8,1161,ERCC8_HUMAN,human
13,WRN,"Werner syndrome, RecQ helicase-like",7486,WRN_HUMAN,"human,mammal,cell"
14,LMNA,lamin A/C,4000,LMNA_HUMAN,human
15,IGF1R,insulin-like growth factor 1 receptor,3480,IGF1R_HUMAN,model
16,TXN,thioredoxin,7295,THIO_HUMAN,"model,functional"
17,KL,klotho,9365,KLOT_HUMAN,mammal
18,E2F1,E2F transcription factor 1,1869,E2F1_HUMAN,"cell,downstream"
19,PTPN11,"protein tyrosine phosphatase, non-receptor type 11",5781,PTN11_HUMAN,downstream
20,NFKB2,nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100),4791,NFKB2_HUMAN,functional
21,STAT5B,signal transducer and activator of transcription 5B,6777,STA5B_HUMAN,downstream
22,STAT3,signal transducer and activator of transcription 3 (acute-phase response factor),6774,STAT3_HUMAN,downstream
23,STAT5A,signal transducer and activator of transcription 5A,6776,STA5A_HUMAN,downstream
24,NRG1,neuregulin 1,3084,NRG1_HUMAN,putative
25,HDAC3,histone deacetylase 3,8841,HDAC3_HUMAN,functional
26,GH1,growth hormone 1,2688,SOMA_HUMAN,"mammal,functional,downstream"
27,IL7R,interleukin 7 receptor,3575,IL7RA_HUMAN,putative
28,IGF1,insulin-like growth factor 1 (somatomedin C),3479,IGF1,functional
29,IGF2,insulin-like growth factor 2,3481,IGF2_HUMAN,functional
30,INS,insulin,3630,INS_HUMAN,functional
31,NGF,nerve growth factor (beta polypeptide),4803,NGF_HUMAN,putative
32,IRS1,insulin receptor substrate 1,3667,IRS1_HUMAN,model
33,PTPN1,"protein tyrosine phosphatase, non-receptor type 1",5770,PTN1_HUMAN,downstream
34,IRS2,insulin receptor substrate 2,8660,IRS2_HUMAN,"model,putative"
35,AKT1,v-akt murine thymoma viral oncogene homolog 1,207,AKT1_HUMAN,"model,cell"
36,PIK3CB,"phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit beta",5291,PK3CB_HUMAN,"model,downstream"
37,NGFR,nerve growth factor receptor,4804,TNR16_HUMAN,downstream
38,HRAS,Harvey rat sarcoma viral oncogene homolog,3265,RASH_HUMAN,"model,cell"
39,MYC,v-myc avian myelocytomatosis viral oncogene homolog,4609,MYC_HUMAN,"cell,upstream"
40,EGFR,epidermal growth factor receptor,1956,EGFR_HUMAN,downstream
41,ERBB2,erb-b2 receptor tyrosine kinase 2,2064,ERBB2_HUMAN,downstream
42,INSR,insulin receptor,3643,INSR_HUMAN,model
43,NCOR1,nuclear receptor corepressor 1,9611,NCOR1_HUMAN,downstream
44,NBN,nibrin,4683,NBN_HUMAN,"functional,putative"
45,JUND,jun D proto-oncogene,3727,JUND_HUMAN,"mammal,putative"
46,IL2,interleukin 2,3558,IL2_HUMAN,putative
47,PDGFB,platelet-derived growth factor beta polypeptide,5155,PDGFB_HUMAN,upstream
48,EGF,epidermal growth factor,1950,EGF_HUMAN,upstream
49,IL2RG,"interleukin 2 receptor, gamma",3561,IL2RG_HUMAN,downstream
50,FOS,FBJ murine osteosarcoma viral oncogene homolog,2353,FOS_HUMAN,putative
51,PDGFRB,"platelet-derived growth factor receptor, beta polypeptide",5159,PGFRB_HUMAN,downstream
52,EPOR,Erythropoietin receptor,2057,EPOR_HUMAN,downstream
53,SST,somatostatin,6750,SMS_HUMAN,upstream
54,PRKCD,"protein kinase C, delta",5580,KPCD_HUMAN,downstream
55,PPARA,peroxisome proliferator-activated receptor alpha,5465,PPARA_HUMAN,putative
